date,game_id,status,home_team,away_team,neutral,overtime,home_score,away_score,result_margin,result_total,home_rating,away_rating,home_advantage,projected_winner,projected_spread,projected_home_spread,projected_win_prob,projected_home_score,projected_away_score,projected_total
2025-10-22,2025-10-22|Sacramento Kings|Phoenix Suns,final,Phoenix Suns,Sacramento Kings,False,False,120.0,116.0,4.0,236.0,3.0778692065981805,-5.608749847158277,3.8733148685580803,Phoenix Suns,-12.559933922314539,12.559933922314539,0.8742151851233741,121.81902946115727,109.25909553884273,231.078125
2025-10-22,2025-10-22|San Antonio Spurs|Dallas Mavericks,final,Dallas Mavericks,San Antonio Spurs,False,False,92.0,125.0,-33.0,217.0,-4.559644697700993,6.732817343411236,3.116168938173971,San Antonio Spurs,8.176293102938258,-8.176293102938258,0.2206135900518427,112.082753626784,120.25904672972224,232.34180035650624
2025-10-22,2025-10-22|Toronto Raptors|Atlanta Hawks,final,Atlanta Hawks,Toronto Raptors,False,False,118.0,138.0,-20.0,256.0,-1.4983469702137577,1.35973591285235,-1.566197443352507,Toronto Raptors,4.424280326418614,-4.424280326418614,0.33560704662737945,114.42756571914362,118.85184604556224,233.27941176470586
2025-10-22,2025-10-22|Washington Wizards|Milwaukee Bucks,final,Milwaukee Bucks,Washington Wizards,False,False,133.0,120.0,13.0,253.0,-3.0581328043516987,-9.127672320717876,4.09961795283634,Milwaukee Bucks,-10.169157469202517,10.169157469202517,0.8277427174391133,121.87539007379968,111.70623260459718,233.58162267839685
2025-10-23,2025-10-23|Denver Nuggets|Golden State Warriors,final,Golden State Warriors,Denver Nuggets,False,False,137.0,131.0,6.0,268.0,0.8191239171999589,4.823066776850101,7.509669178314511,Golden State Warriors,-3.505726318664369,3.505726318664369,0.6320786450904733,119.84519270478673,116.33946638612237,236.1846590909091
2025-10-23,2025-10-23|Oklahoma City Thunder|Indiana Pacers,final,Indiana Pacers,Oklahoma City Thunder,False,False,135.0,141.0,-6.0,276.0,-10.964758742911087,11.427846652099367,5.355170192390541,Oklahoma City Thunder,17.037435202619914,-17.037435202619914,0.06723860157829699,106.33734300475064,123.37477820737055,229.7121212121212
2025-10-24,2025-10-24|Atlanta Hawks|Orlando Magic,final,Orlando Magic,Atlanta Hawks,False,False,107.0,111.0,-4.0,218.0,2.534728893900602,-1.4983469702137577,0.8890511877268042,Orlando Magic,-4.922127051841164,4.922127051841164,0.6813060805785787,120.34965532627707,115.42752827443591,235.777183600713
2025-10-24,2025-10-24|Boston Celtics|New York Knicks,final,New York Knicks,Boston Celtics,False,False,105.0,95.0,10.0,200.0,6.363133616668737,3.266409126077347,4.981363938720943,New York Knicks,-8.078088429312333,8.078088429312333,0.7767689053335379,119.5163169419289,111.43822851261656,230.95454545454547
2025-10-24,2025-10-24|Cleveland Cavaliers|Brooklyn Nets,final,Brooklyn Nets,Cleveland Cavaliers,False,False,124.0,131.0,-7.0,255.0,-5.014394269100372,0.16847419438047906,1.3809457239710115,Cleveland Cavaliers,3.8019227395098394,-3.8019227395098394,0.35735436357694,113.14511706161763,116.94703980112747,230.0921568627451
2025-10-24,2025-10-24|Detroit Pistons|Houston Rockets,final,Houston Rockets,Detroit Pistons,False,False,111.0,115.0,-4.0,226.0,4.854177867423597,5.973768646051718,5.7480439822003,Houston Rockets,-4.628453203572179,4.628453203572179,0.6713834724631377,118.36891410178609,113.74046089821391,232.109375
2025-10-24,2025-10-24|Golden State Warriors|Portland Trail Blazers,final,Portland Trail Blazers,Golden State Warriors,False,False,139.0,119.0,20.0,258.0,-1.076035337885097,0.8191239171999589,1.3086200786342315,Golden State Warriors,0.5865391764508245,-0.5865391764508245,0.4773808727022643,115.98703344207762,116.57357261852844,232.56060606060606
2025-10-24,2025-10-24|Miami Heat|Memphis Grizzlies,final,Memphis Grizzlies,Miami Heat,False,False,114.0,146.0,-32.0,260.0,-1.2309638034360872,1.701675065584123,3.173120559720777,Memphis Grizzlies,-0.24048169070056646,0.24048169070056646,0.5092791350308891,117.52246622413817,117.28198453343761,234.80445075757578
2025-10-24,2025-10-24|Milwaukee Bucks|Toronto Raptors,final,Toronto Raptors,Milwaukee Bucks,False,False,116.0,122.0,-6.0,238.0,1.35973591285235,-3.0581328043516987,-1.1048234975056515,Toronto Raptors,-3.313045219698397,3.313045219698397,0.6251351548019639,115.61218214639109,112.29913692669268,227.91131907308377
2025-10-24,2025-10-24|Minnesota Timberwolves|Los Angeles Lakers,final,Los Angeles Lakers,Minnesota Timberwolves,False,False,128.0,110.0,18.0,238.0,4.984814963550581,3.876952192229939,-2.4222766422775206,Minnesota Timberwolves,1.3144138709568787,-1.3144138709568787,0.44944999413535136,116.24658094330944,117.56099481426632,233.80757575757576
2025-10-24,2025-10-24|Phoenix Suns|Los Angeles Clippers,final,Los Angeles Clippers,Phoenix Suns,False,False,129.0,102.0,27.0,231.0,-3.999990306820603,3.0778692065981805,6.279474605762198,Phoenix Suns,0.798384907656585,-0.798384907656585,0.4692292215268526,113.27495069133299,114.07333559898957,227.34828629032256
2025-10-24,2025-10-24|San Antonio Spurs|New Orleans Pelicans,final,New Orleans Pelicans,San Antonio Spurs,False,False,116.0,120.0,-4.0,236.0,-7.4123535869014905,6.732817343411236,4.766477522610943,San Antonio Spurs,9.378693407701784,-9.378693407701784,0.19035625317214086,113.20214170969635,122.58083511739812,235.78297682709447
2025-10-24,2025-10-24|Utah Jazz|Sacramento Kings,final,Sacramento Kings,Utah Jazz,False,False,105.0,104.0,1.0,209.0,-5.608749847158277,-1.825660982842028,-2.434784326241355,Utah Jazz,6.217873190557604,-6.217873190557604,0.27691981081258016,117.21566017891475,123.43353336947236,240.6491935483871
