date,home_team,away_team,home_score,away_score,neutral,overtime,game_id,notes,status,model,home_rating,away_rating,projected_winner,projected_spread,projected_total,result_margin,result_total
10/26/2025,Miami Heat,New York Knicks,115,107,FALSE,FALSE,2025-10-26|New York Knicks|Miami Heat,,final,bradley-terry,-0.318817789,4.556312374,New York Knicks,-4.875130163,233.2969432,8,222
10/26/2025,Los Angeles Clippers,Portland Trail Blazers,114,107,FALSE,FALSE,2025-10-26|Portland Trail Blazers|Los Angeles Clippers,,final,bradley-terry,-6.022625691,-3.310042335,Portland Trail Blazers,-2.712583356,233.2969432,7,221
10/26/2025,Dallas Mavericks,Toronto Raptors,139,129,FALSE,FALSE,2025-10-26|Toronto Raptors|Dallas Mavericks,,final,bradley-terry,-4.867254585,-1.091654483,Toronto Raptors,-3.775600102,233.2969432,10,268
10/27/2025,Chicago Bulls,Atlanta Hawks,128,123,FALSE,FALSE,2025-10-27|Atlanta Hawks|Chicago Bulls,,final,bradley-terry,-2.267206274,-2.363932593,Chicago Bulls,0.096726319,233.2969432,5,251
10/27/2025,New Orleans Pelicans,Boston Celtics,90,122,FALSE,FALSE,2025-10-27|Boston Celtics|New Orleans Pelicans,,final,bradley-terry,-7.916221568,2.484741787,Boston Celtics,-10.40096336,233.2969432,-32,212
10/27/2025,Houston Rockets,Brooklyn Nets,137,109,FALSE,FALSE,2025-10-27|Brooklyn Nets|Houston Rockets,,final,bradley-terry,3.17744288,-6.90391712,Houston Rockets,10.08136,233.2969432,28,246
10/27/2025,Detroit Pistons,Cleveland Cavaliers,95,116,FALSE,FALSE,2025-10-27|Cleveland Cavaliers|Detroit Pistons,,final,bradley-terry,5.586114982,-1.573435105,Detroit Pistons,7.159550087,233.2969432,-21,211
10/27/2025,Minnesota Timberwolves,Denver Nuggets,114,127,FALSE,FALSE,2025-10-27|Denver Nuggets|Minnesota Timberwolves,,final,bradley-terry,3.203037321,5.062279444,Denver Nuggets,-1.859242122,233.2969432,-13,241
10/27/2025,Golden State Warriors,Memphis Grizzlies,131,118,FALSE,FALSE,2025-10-27|Memphis Grizzlies|Golden State Warriors,,final,bradley-terry,-0.196594319,-1.768083656,Golden State Warriors,1.571489336,233.2969432,13,249
10/27/2025,Dallas Mavericks,Oklahoma City Thunder,94,101,FALSE,FALSE,2025-10-27|Oklahoma City Thunder|Dallas Mavericks,,final,bradley-terry,-4.867254585,9.811197825,Oklahoma City Thunder,-14.67845241,233.2969432,-7,195
10/27/2025,Philadelphia 76ers,Orlando Magic,136,124,FALSE,FALSE,2025-10-27|Orlando Magic|Philadelphia 76ers,,final,bradley-terry,-0.7259986,1.245174867,Orlando Magic,-1.971173467,233.2969432,12,260
10/27/2025,Utah Jazz,Phoenix Suns,138,134,FALSE,FALSE,2025-10-27|Phoenix Suns|Utah Jazz,,final,bradley-terry,-3.765361242,1.641240049,Phoenix Suns,-5.406601291,233.2969432,4,272
10/27/2025,Los Angeles Lakers,Portland Trail Blazers,108,122,FALSE,FALSE,2025-10-27|Portland Trail Blazers|Los Angeles Lakers,,final,bradley-terry,3.460211333,-3.310042335,Los Angeles Lakers,6.770253669,233.2969432,-14,230
10/27/2025,San Antonio Spurs,Toronto Raptors,121,103,FALSE,FALSE,2025-10-27|Toronto Raptors|San Antonio Spurs,,final,bradley-terry,7.208024728,-1.091654483,San Antonio Spurs,8.299679211,233.2969432,18,224
10/28/2025,Miami Heat,Charlotte Hornets,144,117,FALSE,FALSE,2025-10-28|Charlotte Hornets|Miami Heat,,final,bradley-terry,-0.318817789,-6.230312921,Miami Heat,5.911495132,233.2969432,27,261
10/28/2025,Golden State Warriors,Los Angeles Clippers,98,79,FALSE,FALSE,2025-10-28|Los Angeles Clippers|Golden State Warriors,,final,bradley-terry,-0.196594319,-6.022625691,Golden State Warriors,5.826031372,233.2969432,19,177
10/28/2025,Milwaukee Bucks,New York Knicks,121,111,FALSE,FALSE,2025-10-28|New York Knicks|Milwaukee Bucks,,final,bradley-terry,-5.401240434,4.556312374,New York Knicks,-9.957552808,233.2969432,10,232
10/28/2025,Washington Wizards,Philadelphia 76ers,134,139,FALSE,FALSE,2025-10-28|Philadelphia 76ers|Washington Wizards,,final,bradley-terry,-11.11742058,-0.7259986,Philadelphia 76ers,-10.39142198,233.2969432,-5,273
10/28/2025,Oklahoma City Thunder,Sacramento Kings,107,101,FALSE,FALSE,2025-10-28|Sacramento Kings|Oklahoma City Thunder,,final,bradley-terry,9.811197825,-7.119348383,Oklahoma City Thunder,16.93054621,233.2969432,6,208
